,Text,fear,joy,optimism,love,sadness,anticipation,trust,pessimism,surprise,disgust,anger
0,"My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.",0.9501382112503052,0.8890569806098938,0.5708929896354675,0.47067156434059143,0.16423656046390533,0.11126109957695007,0.10160717368125916,0.07006607949733734,0.046277113258838654,0.005908763501793146,0.0035218195989727974
1,Yoga keeps me focused. I am able to take some time for me and breath and work my body. This is important because it sets up my mood for the whole day.,0.021933140233159065,0.9709051847457886,0.9848803281784058,0.10567871481180191,0.011021978221833706,0.17711025476455688,0.31404176354408264,0.008993682451546192,0.038091741502285004,0.006505393888801336,0.009273470379412174
2,"Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment.",0.015487992204725742,0.9973949193954468,0.8756922483444214,0.5506801605224609,0.013391709886491299,0.0853460282087326,0.09897060692310333,0.007222434040158987,0.07607807964086533,0.007965931668877602,0.007647635415196419
3,"Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.",0.02849331870675087,0.9973251819610596,0.8017680644989014,0.8904895186424255,0.03728575259447098,0.1053578183054924,0.11060535162687302,0.012168566696345806,0.07089092582464218,0.0075632911175489426,0.005539229139685631
4,"Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.",0.07537523657083511,0.9622034430503845,0.9526033401489258,0.21340548992156982,0.10988341271877289,0.044705718755722046,0.07320104539394379,0.014612799510359764,0.01829495094716549,0.005482531618326902,0.0036924073938280344
5,"Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.",0.03202938660979271,0.009243400767445564,0.014251388609409332,0.014261099509894848,0.9896042346954346,0.022271890193223953,0.010554223321378231,0.5948151350021362,0.021972812712192535,0.878879964351654,0.8557562232017517
6,"Yesterday, I got a lot of things ready for listing, and fielded many questions from potential buyers. I also did some surveys on Mturk. Woke up this morning to find that there are quite a few items that now have bids and will sell today and tomorrow, and also had 2 bonuses from surveys.",0.04173777624964714,0.803277850151062,0.8945984840393066,0.015562184154987335,0.015576613135635853,0.849713921546936,0.18267755210399628,0.027992811053991318,0.09452638775110245,0.010772147215902805,0.01035597175359726
7,"Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.",0.13831530511379242,0.9897543787956238,0.9415498971939087,0.10961829870939255,0.014382701367139816,0.3589252829551697,0.1461249440908432,0.012479576282203197,0.08960195630788803,0.005022946745157242,0.004554941784590483
8,yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.,0.007993116043508053,0.9828423857688904,0.6539867520332336,0.05379173159599304,0.08196841180324554,0.127342090010643,0.015153882093727589,0.03394431620836258,0.017669804394245148,0.049755871295928955,0.01756914332509041
9,Yesterday was the sixth of the month so I read the sixth chapter of Proverbs.  The wisdom gift that God gave to Solomon is passed on to me through this writing.  I felt a great connection over the centuries to God's intervention in this man's life.,0.024816298857331276,0.9851797819137573,0.9842649698257446,0.49950292706489563,0.012060277163982391,0.1156267300248146,0.44723281264305115,0.008342702873051167,0.05572525039315224,0.004884511232376099,0.007871037349104881
10,"Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows.",0.011650320142507553,0.9948278069496155,0.5256309509277344,0.7276896834373474,0.22124825417995453,0.048736006021499634,0.03129274398088455,0.023864028975367546,0.03140050917863846,0.020889829844236374,0.009047647006809711
11,yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.,0.03667227551341057,0.9968339800834656,0.724403977394104,0.945818305015564,0.02744383178651333,0.07667544484138489,0.12160611897706985,0.014123058877885342,0.07014381140470505,0.012177504599094391,0.012216893024742603
12,Yesterday was my birthday and I spent it with my family which is the most important thing in my life. I felt loved and pampered as if I was the most important thing in their lives as well,0.04054286703467369,0.9957594275474548,0.7818029522895813,0.9575897455215454,0.03320465236902237,0.06212620437145233,0.13874678313732147,0.016283446922898293,0.053784728050231934,0.011780079454183578,0.009978820569813251
13,"Yesterday was my ""PULL DAY"" in my workout routine. I was able to achieve 50 pull ups with 65 lbs hanging from my waist on my dip belt. I went up in weight from last week and felt great!",0.03669000416994095,0.9922037124633789,0.9357983469963074,0.09884323924779892,0.009975099936127663,0.1548725813627243,0.11292104423046112,0.010275491513311863,0.08464964479207993,0.012512227520346642,0.015492763370275497
