,Text,joy,optimism,love,trust,anticipation,surprise,sadness,anger,fear,pessimism,disgust
0,Mimì never forgets to see the beauty in life.,0.9726209044456482,0.9559656381607056,0.2528596818447113,0.18692590296268463,0.08806146681308746,0.02053513377904892,0.01966054178774357,0.013403810560703278,0.010003899224102497,0.00934930332005024,0.009062541648745537
1,"I will choose the bad guy in every story, I am attracted to villians",0.4322628080844879,0.1826796978712082,0.017734529450535774,0.03918825834989548,0.468004435300827,0.07627803832292557,0.11789551377296448,0.32432910799980164,0.013707173988223076,0.05215340852737427,0.2890340983867645
2,"Even perfect people are taught to practice imperfections just to fit in the society. Thus, the famous saying of 'no one is perfect' still prevails.",0.2795230448246002,0.964897871017456,0.023925906047225,0.32747313380241394,0.29789024591445923,0.013841702602803707,0.050638213753700256,0.05224587023258209,0.03436028212308884,0.04797622188925743,0.03226899355649948
3,"The greater your capacity to love, the greater your capacity to feel the pain",0.6386124491691589,0.9543123841285706,0.2681090831756592,0.2987922132015228,0.07540015131235123,0.011760411784052849,0.5256602764129639,0.014589321799576283,0.028185060247778893,0.09558989107608795,0.018828371539711952
4,We Turks are faithful muslims.,0.7843910455703735,0.8862848281860352,0.13474822044372559,0.25101107358932495,0.18915480375289917,0.02076956070959568,0.01814322918653488,0.04194626584649086,0.011825032532215118,0.012961842119693756,0.018317805603146553
5,Choose a lazy person to do a hard job. Because a lazy person will find an easy way to do it.,0.041849285364151,0.7946773767471313,0.007202143780887127,0.0859023854136467,0.23223058879375458,0.009775392711162567,0.4219292402267456,0.09805881232023239,0.04734508693218231,0.2851804792881012,0.1272917538881302
6,Intelligence is the ability to adapt to change.,0.5554649233818054,0.9729712605476379,0.06143995746970177,0.4307476878166199,0.25418442487716675,0.019016243517398834,0.029103104025125504,0.024410305544734,0.04628778621554375,0.026596369221806526,0.015047779306769371
7,"The prayer of the true soldier is not to die peacefully, but to leave the country and its citizens with peace of mind.",0.5540282130241394,0.9684230089187622,0.03216725215315819,0.18634752929210663,0.1567838191986084,0.008772131986916065,0.07990400493144989,0.01717916503548622,0.041540976613759995,0.03702065348625183,0.015856117010116577
8,"If you look at the darkness, not light, every day, your life will be filled with darkness.",0.09694554656744003,0.7793244123458862,0.03097648359835148,0.08324495702981949,0.11496197432279587,0.008126757107675076,0.8304414749145508,0.019165964797139168,0.058822792023420334,0.3486410677433014,0.042360421270132065
9,Rewards and punishment is the lowest form of education.,0.014576015993952751,0.13160283863544464,0.0029198522679507732,0.010919670574367046,0.06001817807555199,0.009306984022259712,0.5766384601593018,0.776376485824585,0.04716246575117111,0.2905316650867462,0.6911518573760986
10,You cannot regulate desire.,0.044161394238471985,0.4361019730567932,0.00527148088440299,0.045442771166563034,0.2619120478630066,0.0115074273198843,0.12197832018136978,0.12455376237630844,0.018207622691988945,0.09050419926643372,0.12429874390363693
11,Be willing to be a beginner every single morning.,0.8759546875953674,0.9780815243721008,0.10218403488397598,0.42899149656295776,0.24988168478012085,0.0246439129114151,0.019949117675423622,0.018325326964259148,0.023406347259879112,0.017156854271888733,0.01097187027335167
12,I'd rather be called a boy and play with paper air-planes than be called a man and play with a girl's heart.,0.8303723931312561,0.4295702278614044,0.16032719612121582,0.09216809272766113,0.4017958343029022,0.06037016957998276,0.2971653938293457,0.009481439366936684,0.015351726673543453,0.05739376321434975,0.027583643794059753
